SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000220,56:00.9,2230.08,1132.21,1222.1,30.3,4379.36,168.67,203.01,30.3,4181.4,1243.677881,149.660596,169.7870199,30.3,129.9555629,17.06298013,15.16337748,30.3,72.9607947,0,0,4.04,30.3,40.4,0,0,30.3,40.4,854.9009456,168.4811748,155.7301649,0,589.4602999,20.71875126,24.27924918,0,338.3877353,32060.47747,3552.191084,0,5064.689849,0
20220823-0000221,57:17.4,2233.11,963.54,2274.52,30.3,4639.94,138.37,203.01,30.3,4174.33,1278.244932,153.4300685,217.6688356,30.3,129.3491781,17.48821918,14.42363014,30.3,99.7340411,0,1.01,8.08,30.3,40.4,0,0,30.3,40.4,853.1851024,160.3018966,311.5379699,0,614.4925376,19.70318431,22.53507557,0,481.1064623,31689.64991,3625.53355,0,5127.622089,0
20220823-0000222,58:30.4,2226.04,583.78,2957.28,30.3,480.76,92.92,128.27,30.3,49.49,1157.3085,134.393125,203.350875,30.3,51.23225,17.308875,14.329375,30.3,40.513625,0,4.04,17.17,30.3,40.4,0,1.01,30.3,40.4,881.6521599,102.6871509,356.7817347,0,67.26743049,16.40086178,20.45023288,0,1.010006399,31829.40866,3536.927698,0,5011.031649,0
20220823-0000224,59:44.4,2227.05,1148.37,1900.82,30.3,4368.25,113.12,132.31,30.3,4169.28,1228.498882,148.3503947,202.5515132,30.3,126.3164474,17.94078947,13.29611842,30.3,75.79651316,0,4.04,16.16,30.3,40.4,0,0,30.3,40.4,867.2562719,153.3478483,280.9775947,0,585.5768019,18.75435756,17.12964729,0,338.0940037,32001.51872,2584.139246,0,4515.119252,0
20220823-0000226,02:16.4,2222,1411.98,2186.65,30.3,4191.5,187.86,158.57,30.3,456.52,1261.068014,152.2332877,236.6305479,30.3,102.9162329,18.56739726,13.3790411,30.3,53.88972603,0,1.01,1.01,30.3,40.4,0,0,30.3,40.4,846.3884061,172.5690063,358.6550528,0,483.5766136,25.19187743,18.49137989,0,71.68480904,31517.76003,2457.123461,0,4460.905263,0
20220823-0000227,03:30.4,2226.04,1210.99,2151.3,30.3,4438.95,181.8,177.76,30.3,4166.25,1290.182245,155.9453741,230.8983673,30.3,158.8929252,19.54040816,14.22931973,30.3,76.58823129,0,0,1.01,30.3,40.4,0,0,30.3,40.4,848.7658108,170.0356115,333.3072987,0,691.4634047,26.5582633,20.93375687,0,343.0972119,31775.54738,3384.892971,0,5056.814294,0
20220823-0000228,04:44.4,2227.05,811.03,2557.32,30.3,4438.95,81.81,219.17,30.3,4166.25,1248.996438,146.0072603,191.9276712,30.3,107.9385616,15.4889726,16.76184932,30.3,79.13280822,0,0,1.01,30.3,40.4,0,0,30.3,40.4,846.1648973,123.1783995,267.1843734,0,499.5849058,13.7168832,28.78883935,0,345.1235708,31775.64131,3556.288271,0,5180.315257,0
20220823-0000230,07:10.4,2228.06,762.55,2554.29,30.3,4174.33,148.47,163.62,30.3,434.3,1256.255743,146.2657432,190.2416892,30.3,74.2622973,17.73641892,15.6277027,30.3,45.64108108,0,0,1.01,30.3,40.4,0,0,30.3,40.4,855.3632823,132.085554,246.6284755,0,341.8893904,19.14673811,21.53909633,0,44.32842883,31794.61012,3600.722643,0,5093.284444,0
20220823-0000231,08:24.4,2223.01,1406.93,2493.69,30.3,480.76,116.15,108.07,30.3,4156.15,1275.332534,160.9289726,213.5389041,30.3,49.37931507,17.72342466,12.97780822,30.3,79.99061644,0,1.01,1.01,30.3,40.4,0,0,30.3,40.4,844.7424221,188.0684965,290.8558143,0,61.56613528,17.59922787,15.10276534,0,345.241545,31930.53491,3310.636301,0,5040.39898,0
20220823-0000231,08:24.4,2223.01,1378.7914,2493.69,30.3,480.76,116.15,108.07,30.3,4156.15,1249.825884,156.1011034,213.5389041,30.3,49.37931507,17.72342466,12.97780822,30.3,79.99061644,0,1.01,1.01,30.3,40.4,0,0,30.3,40.4,853.1898463,182.4264416,290.8558143,0,61.56613528,18.47918926,15.10276534,0,362.5036223,33527.06166,3211.317212,0,5292.418929,1
